t,goodput,throttled,offered,type,name
25.050768, 65, 83, 67, client, client_1_150.00
25.050768, 60, 88, 63, client, client_2_150.00
25.050768, 9, 0, 10, client, client_3_10.00
26.054286, 202, 118, 320, server, server
26.054286, 41, 0, 151, client, client_0_150.00
26.054286, 150, 0, 150, client, client_1_150.00
26.054286, 1, 141, 9, client, client_2_150.00
26.054286, 10, 0, 10, client, client_3_10.00
27.056338, 201, 49, 250, server, server
27.056338, 110, 0, 150, client, client_0_150.00
27.056338, 68, 83, 68, client, client_1_150.00
27.056338, 15, 128, 22, client, client_2_150.00
27.056338, 8, 0, 10, client, client_3_10.00
28.057435, 199, 13, 212, server, server
28.057435, 104, 39, 111, client, client_0_150.00
28.057435, 43, 105, 45, client, client_1_150.00
28.057435, 43, 105, 46, client, client_2_150.00
28.057435, 9, 0, 10, client, client_3_10.00
29.060952, 200, 8, 208, server, server
29.060952, 60, 84, 67, client, client_0_150.00
29.060952, 65, 85, 65, client, client_1_150.00
29.060952, 66, 84, 66, client, client_2_150.00
29.060952, 9, 0, 10, client, client_3_10.00
30.063004, 203, 19, 222, server, server
30.063004, 60, 79, 71, client, client_0_150.00
30.063004, 71, 80, 71, client, client_1_150.00
30.063004, 62, 80, 70, client, client_2_150.00
30.063004, 10, 0, 10, client, client_3_10.00
31.064101, 200, 261, 461, server, server
31.064101, 0, 0, 150, client, client_0_150.00
31.064101, 150, 0, 150, client, client_1_150.00
31.064101, 50, 0, 151, client, client_2_150.00
31.064101, 0, 0, 10, client, client_3_10.00
32.067618, 200, 80, 280, server, server
32.067618, 24, 80, 71, client, client_0_150.00
32.067618, 48, 101, 49, client, client_1_150.00
32.067618, 123, 0, 150, client, client_2_150.00
32.067618, 5, 0, 10, client, client_3_10.00
33.069670, 193, 19, 212, server, server
33.069670, 26, 121, 29, client, client_0_150.00
33.069670, 30, 121, 30, client, client_1_150.00
33.069670, 129, 7, 143, client, client_2_150.00
33.069670, 8, 0, 10, client, client_3_10.00
34.070768, 207, 7, 214, server, server
34.070768, 64, 82, 68, client, client_0_150.00
34.070768, 68, 82, 68, client, client_1_150.00
34.070768, 66, 83, 68, client, client_2_150.00
34.070768, 9, 0, 10, client, client_3_10.00
35.074285, 201, 15, 216, server, server
35.074285, 62, 79, 72, client, client_0_150.00
35.074285, 70, 80, 70, client, client_1_150.00
35.074285, 59, 86, 64, client, client_2_150.00
35.074285, 10, 0, 10, client, client_3_10.00
36.076337, 201, 117, 318, server, server
36.076337, 40, 0, 150, client, client_0_150.00
36.076337, 151, 0, 151, client, client_1_150.00
36.076337, 0, 143, 7, client, client_2_150.00
36.076337, 10, 0, 10, client, client_3_10.00
37.077434, 150, 38, 188, server, server
37.077434, 39, 77, 73, client, client_0_150.00
37.077434, 75, 75, 75, client, client_1_150.00
37.077434, 26, 121, 30, client, client_2_150.00
37.077434, 10, 0, 10, client, client_3_10.00
38.080951, 251, 9, 260, server, server
38.080951, 78, 68, 83, client, client_0_150.00
38.080951, 83, 67, 83, client, client_1_150.00
38.080951, 81, 66, 84, client, client_2_150.00
38.080951, 9, 0, 10, client, client_3_10.00
39.083003, 193, 9, 202, server, server
39.083003, 62, 86, 64, client, client_0_150.00
39.083003, 64, 87, 64, client, client_1_150.00
39.083003, 57, 86, 64, client, client_2_150.00
39.083003, 10, 0, 10, client, client_3_10.00
40.084100, 208, 24, 232, server, server
40.084100, 61, 78, 72, client, client_0_150.00
40.084100, 74, 76, 74, client, client_1_150.00
40.084100, 64, 75, 76, client, client_2_150.00
40.084100, 9, 0, 10, client, client_3_10.00
41.087617, 198, 143, 341, server, server
41.087617, 68, 0, 151, client, client_0_150.00
41.087617, 95, 55, 95, client, client_1_150.00
41.087617, 31, 65, 85, client, client_2_150.00
41.087617, 4, 0, 10, client, client_3_10.00
42.089669, 184, 8, 192, server, server
42.089669, 123, 23, 127, client, client_0_150.00
42.089669, 41, 110, 41, client, client_1_150.00
42.089669, 12, 136, 14, client, client_2_150.00
42.089669, 8, 0, 10, client, client_3_10.00
43.090767, 215, 5, 220, server, server
43.090767, 102, 46, 104, client, client_0_150.00
43.090767, 75, 75, 75, client, client_1_150.00
43.090767, 28, 120, 31, client, client_2_150.00
43.090767, 10, 0, 10, client, client_3_10.00
44.094284, 203, 6, 209, server, server
44.094284, 99, 51, 100, client, client_0_150.00
44.094284, 75, 75, 75, client, client_1_150.00
44.094284, 20, 126, 24, client, client_2_150.00
44.094284, 9, 0, 10, client, client_3_10.00
45.096336, 202, 21, 223, server, server
45.096336, 99, 50, 100, client, client_0_150.00
45.096336, 66, 78, 73, client, client_1_150.00
45.096336, 28, 110, 40, client, client_2_150.00
45.096336, 9, 0, 10, client, client_3_10.00
46.097433, 200, 261, 461, server, server
46.097433, 150, 0, 150, client, client_0_150.00
46.097433, 50, 0, 150, client, client_1_150.00
46.097433, 0, 0, 151, client, client_2_150.00
46.097433, 0, 0, 10, client, client_3_10.00
47.100950, 201, 142, 343, server, server
47.100950, 151, 0, 151, client, client_0_150.00
47.100950, 9, 118, 32, client, client_1_150.00
47.100950, 41, 0, 150, client, client_2_150.00
47.100950, 0, 0, 10, client, client_3_10.00
48.103002, 187, 57, 244, server, server
48.103002, 127, 18, 132, client, client_0_150.00
48.103002, 19, 129, 22, client, client_1_150.00
48.103002, 41, 65, 85, client, client_2_150.00
48.103002, 0, 5, 5, client, client_3_10.00
49.104099, 210, 7, 217, server, server
49.104099, 69, 78, 72, client, client_0_150.00
49.104099, 71, 78, 72, client, client_1_150.00
49.104099, 68, 80, 71, client, client_2_150.00
49.104099, 2, 8, 2, client, client_3_10.00
50.107616, 205, 17, 222, server, server
50.107616, 74, 71, 80, client, client_0_150.00
50.107616, 69, 72, 78, client, client_1_150.00
50.107616, 59, 90, 60, client, client_2_150.00
50.107616, 3, 6, 4, client, client_3_10.00
51.109669, 200, 118, 318, server, server
51.109669, 150, 0, 150, client, client_0_150.00
51.109669, 50, 0, 151, client, client_1_150.00
